Reported Date,New Deaths,New Cases,Number of patients hospitalized with COVID-19,Doses Administered
2021-01-01,51.0,2476.0,1260.0,4305.0
2021-01-02,44.0,3363.0,1003.0,4361.0
2021-01-03,25.0,2964.0,998.0,4808.0
2021-01-04,29.0,3270.0,1190.0,7607.0
2021-01-05,51.0,3128.0,1347.0,10350.0
2021-01-06,37.0,3266.0,1463.0,12251.0
2021-01-07,89.0,3519.0,1472.0,14932.0
2021-01-08,26.0,4249.0,1446.0,15700.0
2021-01-09,40.0,3443.0,1457.0,9983.0
2021-01-10,61.0,3945.0,1483.0,8859.0
2021-01-11,29.0,3338.0,1563.0,11448.0
2021-01-12,41.0,2903.0,1701.0,11231.0
2021-01-13,74.0,2961.0,1674.0,14237.0
2021-01-14,62.0,3326.0,1657.0,15609.0
2021-01-15,100.0,2998.0,1647.0,14460.0
2021-01-16,51.0,3056.0,1632.0,11007.0
2021-01-17,69.0,3422.0,1570.0,9691.0
2021-01-18,24.0,2578.0,1571.0,14346.0
2021-01-19,46.0,1913.0,1626.0,13784.0
2021-01-20,89.0,2655.0,1598.0,15899.0
2021-01-21,46.0,2632.0,1533.0,11168.0
2021-01-22,87.0,2662.0,1512.0,11161.0
2021-01-23,52.0,2359.0,1501.0,4427.0
2021-01-24,50.0,2417.0,1436.0,5537.0
2021-01-25,43.0,1958.0,1398.0,9707.0
2021-01-26,63.0,1740.0,1466.0,9513.0
2021-01-27,49.0,1670.0,1382.0,11910.0
2021-01-28,56.0,2093.0,1338.0,10215.0
2021-01-29,58.0,1837.0,1291.0,9373.0
2021-01-30,73.0,2063.0,1273.0,2816.0
2021-01-31,43.0,1848.0,1159.0,2256.0
2021-02-01,36.0,1969.0,1158.0,2715.0
2021-02-02,14.0,745.0,1192.0,3716.0
2021-02-03,67.0,1172.0,1066.0,6724.0
2021-02-04,88.0,1563.0,1101.0,7694.0
2021-02-05,45.0,1670.0,1043.0,9917.0
2021-02-06,45.0,1388.0,1021.0,6518.0
2021-02-07,22.0,1489.0,926.0,6987.0
2021-02-08,33.0,1265.0,901.0,12462.0
2021-02-09,17.0,1022.0,909.0,13486.0
2021-02-10,41.0,1072.0,948.0,14717.0
2021-02-11,18.0,945.0,883.0,15605.0
2021-02-12,18.0,1076.0,763.0,14506.0
2021-02-13,19.0,1300.0,786.0,10679.0
2021-02-14,42.0,981.0,705.0,7698.0
2021-02-15,13.0,964.0,739.0,5053.0
2021-02-16,13.0,904.0,742.0,9107.0
2021-02-17,10.0,847.0,719.0,12383.0
2021-02-18,44.0,1038.0,758.0,16967.0
2021-02-19,47.0,1150.0,689.0,21295.0
2021-02-20,28.0,1228.0,699.0,16404.0
2021-02-21,13.0,1087.0,660.0,12922.0
2021-02-22,11.0,1058.0,646.0,16252.0
2021-02-23,12.0,975.0,718.0,17141.0
2021-02-24,9.0,1054.0,675.0,19112.0
2021-02-25,23.0,1138.0,687.0,21805.0
2021-02-26,28.0,1258.0,683.0,24339.0
2021-02-27,16.0,1185.0,680.0,19167.0
2021-02-28,20.0,1062.0,627.0,17424.0
2021-03-01,6.0,1023.0,659.0,22326.0
2021-03-02,11.0,966.0,677.0,27398.0
2021-03-03,17.0,958.0,668.0,30409.0
2021-03-04,10.0,994.0,649.0,35886.0
2021-03-05,22.0,1250.0,643.0,39698.0
2021-03-06,6.0,990.0,620.0,30192.0
2021-03-07,15.0,1299.0,606.0,21882.0
2021-03-08,10.0,1631.0,626.0,31047.0
2021-03-09,6.0,1185.0,689.0,35264.0
2021-03-10,16.0,1316.0,678.0,40610.0
2021-03-11,10.0,1092.0,680.0,43503.0
2021-03-12,18.0,1371.0,676.0,53586.0
2021-03-13,11.0,1468.0,689.0,41859.0
2021-03-14,15.0,1747.0,601.0,33198.0
2021-03-15,9.0,1268.0,699.0,51579.0
2021-03-16,11.0,1074.0,761.0,58202.0
2021-03-17,14.0,1508.0,741.0,58119.0
2021-03-18,15.0,1553.0,730.0,61146.0
2021-03-19,10.0,1745.0,759.0,60283.0
2021-03-20,11.0,1829.0,765.0,40823.0
2021-03-21,18.0,1791.0,760.0,31335.0
2021-03-22,3.0,1699.0,813.0,50659.0
2021-03-23,9.0,1546.0,868.0,72451.0
2021-03-24,10.0,1571.0,893.0,79446.0
2021-03-25,17.0,2380.0,894.0,82996.0
2021-03-26,12.0,2169.0,913.0,77740.0
2021-03-27,16.0,2453.0,985.0,64950.0
2021-03-28,19.0,2448.0,917.0,50453.0
2021-03-29,10.0,2094.0,841.0,70645.0
2021-03-30,14.0,2336.0,1090.0,89873.0
2021-03-31,15.0,2333.0,1111.0,84060.0
2021-04-01,23.0,2557.0,1116.0,88183.0
2021-04-02,23.0,3089.0,1162.0,59567.0
2021-04-03,16.0,3009.0,796.0,69125.0
2021-04-04,12.0,3041.0,811.0,52452.0
2021-04-05,10.0,2938.0,942.0,76199.0
